source,target
Could be better.,می‌تونه بهتر باشه.
چطور می‌تونم به ایستگاه برسم؟,How can I get to the station?
It si ont he ihrt side.,سمت راست است.
Bedorom,اتاق خواب
hat rae your hobbies?,سرگرمی‌هایت چیست؟
Practice makes perfect.,تمرین باعث کمال می‌شود.
دوستش دارم.,I like it.
کجا زنگدی می‌کی؟,Where do you live?
نه,No
Would you mind...?,اشکالی ندارد اگر...؟
Tomorrow,فردا
Better late than neevr.,دیر رسیدن بهتر از هرگز نرسیدن است.
برادرم دکتر است.,My brother is a doctor.
Could you please.?,ممکن است لطفاً. ؟
چقدر است که اینجا زنگدی می‌نکی؟,How long have you lived here?
چراغ را روشن کن.,Turn on the light.
ساعت چند است؟,What time is it?
Husband,شوهر
Ytserday,دیروز
I forgive you.,می‌بخشمت.
گریه نکن.,Don't cry.
Could you tell me how to get to the museum?,می‌توانید بگویید چطور به موزه بروم؟
فردا سه‌شنبه است.,Tomorrow is Tuesday.
سوپ,Soup
در تماس باش.,Stay in touch.
You speak very well.,خیلی خوب صحبت می‌کنی.
My stomach hurts.,دل‌درد دارم.
بله، فوتبال بازی می‌کنم.,"Yes, I play football."
در را باز کن.,Open the door.
دست دار یچ بیخوری؟,What would you like to eat?
I willpay yo uback.,برات برمی‌گردونم.
Where i the airport?,فرودگاه کجاست؟
I have a car.,ماشین دارم.
Thank you for your help.,ممنون از کمکت.
می‌تونی کمکم کنی؟,Can you help me?
امروز چه روزیه؟,What day is today?
Oka. y,باشه.
همه‌چیز خوب اتس.,Everything is fine.
اشتابهکردم.,I made a mistake.
Listen carefully.,با دقت گوش کن.
Last week,هفته گذشته
واقعاً؟,Really?
پدربزرگ,Grandfather
تبریک یم‌گم!,Congratulations!
Wednesday,چهارشنبه
I have a pet dog.,من یک سگ خانگی دارم.
Ho wdo oyu feel?,چه حسی داری؟
خوبی؟,Are you okay?
That is enough.,کافیه.
بد نیست.,Not bad.
I like listening to music.,گوش دادن به موسیقی رو دوست دارم.
متأسفانه نمی‌تونم.,I am afraid I cannot.
Good night,شب بخیر
من وگشت نمی‌وخرم.,I do not eat meat.
I agree.,موافقم.
ه دارو نیاز دارم.,I need medicine.
Red,قرمز
Orange,پرتقال
Be caeful,مراقب باش.
Okay.,باشه.
I tsi August.,مرداد است.
دو,Two
I needto eea doctor.,باید دکتر بروم.
سیرم.,I am full.
پنجره ار ببدن.,Close the window.
مراقب باش.,Be careful.
من خوبم.,I am fine.
لذت‌بخش بود.,It was a pleasure.
I ave codl.,سرما خورده‌ام.
Turn rigt.,به راست بپیچ.
Can you write it dow? n,می‌توانی بنویسیش؟
آفتابی است.,It is sunny.
چی خریدی؟,What did you buy?
Evening,عصر
Is this spiyc?,این تند است؟
حس بدی دارم.,I feel bad.
It is windy.,باد می‌وزد.
می‌تونم خوداکتر رو قرض گبیرم؟,Can I borrow your pen?
آزاد ستی؟,Are you free?
تقریباً عالیه.,Almost perfect.
قبل از خواب کتاب می‌خوانم.,I read a book before bed.
گرهی نکن.,Don't cry.
روز خوبی داشته باش.,Have a nice day.
ساعتچ ند است؟,What time is it?
سفرت چطور بود؟,How was your trip?
What time does the store close?,مغازه ساعت چند بسته می‌شود؟
The dog is big.,سگ بزرگ است.
بعاد بهمز نگ بزنع.,Call me later.
Isi ptossible.?,آیا ممکن است. ؟
بهم نگاه کن.,Look at me.
Sister,خواهر
Banana,موز
Smile please!,لطفاً لبخند بزنید!
سه‌شنبه‌,Tuesday
پایان.,The end.
باران می‌بارد.,It is raining.
هر وقت خواستی.,You are welcome anytime.
سر چراغ قرمز ب چپ بپی. چ,Turn left at the traffic light.
I read a book before bed.,قبل از خواب کتاب می‌خوانم.
خییل گا ناست.,It is too expensive.
Thati strue.,درسته.
من سه تا سیب دارم.,I have three apples.
Please forgive me.,لطفاً منو ببخش.
حس خوی دارم.,I feel good.
Wht isy our name?,اسم شما چیست؟
Where do you live?,کجا زندگی می‌کنی؟
I feel good.,حس خوبی دارم.
ساعت پنج.,At five o'clock.
Have a nice day.,روز خوبی داشته باشی.
I sent yo an email,ببرایت ایمیل فرستادم.
How much does this cost?,این چقدر قیمت دارد؟
How was your day?,روزت چطور بود؟
oHw many?,چند تا؟
زود بش!,Hurry up!
خانواده‌تا چطوره ستند؟,How is your family?
Great ojb!,کارت عالی بود!
I am a teahcer.,من معلم هستم.
I have two sisters,دو خواهر دارم.
صبح,Morning
وخاهش م‌یکنم,You are welcome
I am bored.,حوصله‌ام سر رفته.
Call the ploice.,به پلیس زنگ بزن.
برو آنجا.,Go there.
Take an umbrell. a,چتر بردار.
می‌توانیم زمان را تغییر دهیم؟,Can we reschedule?
Ilive in Tehran.,من در تهران زندگی می‌کنم.
هرگز تسلیم نشو.,Never give up.
برام بنویس.,Write to me.
سفرت طچور بود؟,How was your trip?
می‌تونی یه کم پول بهم قرض بدی؟,Can you lend me some money?
حالت چطوره؟,How are you doing?
فردا,Tomorrow
همین الان برمی‌گردم.,I will be right back.
چترب رادر.,Take an umbrella.
I have a cold.,سرما خورده‌ام.
قهوه‌ای,Brown
برات بمری‌گرودنم.,I will pay you back.
I am sick.,مریضم.
کدورتی ینست.,No hard feelings.
Hors,اسب
ساعت چند همدیگه رو ببینیم؟,What time shall we meet?
من بیست ساله هستم.,I am twenty years old.
علای می‌شود.,That would be great.
Happy NewYear!,سال نو مبارک!
یکشنبه,Sunday
دوستش ندارم.,I don't like it.
قهوه,Coffee
I will tak ethis.,این رو برمی‌دارم.
قهوه می‌خوام.,I want coffee.
متأسفانه نمی‌توانم.,I am afraid I cannot.
Do not worry about it.,نگرانش نباش.
Is it far from here?,از اینجا دور است؟
Four,چهار
What would you like to eat?,دوست داری چی بخوری؟
ن جالب سات.,That is interesting.
دارم انگلیسی یاد می‌گیرم.,I am learning English.
I love you.,دوستت دارم.
سال نو مبارک!,Happy New Year!
مغازه سعات چند باز میشود؟,What time does the store open?
نهوز دارم یاد می‌گیرم.,I am still learning.
من معلم هستم.,I am a teacher.
بعداً بهم زنگ بزن.,Call me later.
بهت افتخار می‌کنم.,I am proud of you.
Are you okay?,خوبی؟
دور است.,It is far.
Eid Mubarak!,عید مبارک!
تخت,Bed
This tastes good.,این طعم خوبی داره.
I lie watching movies.,فیلم دیدن رو دوست دارم.
I am wokring.,دارم کار می‌کنم.
ممنون از خیردتنو.,Thank you for shopping.
I am looking froward ot it.,منتظرشم.
سرد است.,It is cold.
سلام,Hello
I am okay.,خوبم.
به چپ بپیچ.,Turn left.
باید گوشی‌ام را شارژ کنم.,I need to charge my phone.
تلویزیون تماشا می‌کنم.,I watch television.
The cat is sleeping.,گربه خوابیده است.
Go straihtg.,مستقیم برو.
گوش دادن به ومسیقیرو دوست ادر. م,I like listening to music.
ارزان‌ترش رو داری؟,Do you have a cheaper one?
مستقیم بور.,Go straight ahead.
خانم‌ها اول.,Ladies first.
See you tomorrow.,فردا می‌بینمت.
I am learning Persian.,دارم فارسی یاد می‌گیرم.
کجا کار یمک‌نی؟,Where do you work?
نگارش نباش.,Do not worry about it.
غذای مورد علاقه‌ات چیه؟,What is your favorite food?
May I...?,ممکن است من...؟
فارسی‌ما خیلی وخب ست.,My Persian is not very good.
I have a meeting tomorrow.,فردا جلسه دارم.
Call me when you are free.,هر وقت آزاد شدی زنگ بزن.
این رو برمی‌دارم.,I will take this.
لطفاً آهسته‌تر صحبت کن.,Please speak more slowly.
Write to me.,برام بنویس.
I had a great time.,خیلی خوش گذشت.
Thank you for shopping.,ممنون از خریدتون.
This is bad.,این بد است.
Safet arvels.,سفر به خیر.
Autn,عمه
Do you have any brothers or sisters?,خواهر یا برادر داری؟
امرز گم است.,It is hot today.
سیر شدم.,I am full.
فردا جلسه ارم.,I have a meeting tomorrow.
امروز چه روزی است؟,What day is it today?
اتاق پرو کجاست؟,Where is the fitting room?
How do I get to the train station?,چطور به ایستگاه قطار بروم؟
در رو باز کن,Open the door.
پن نفر هستند.,There are five people.
بیشت رتلاشک ن.,Try harder.
Daughter,دختر
ایده خوبیه.,Good idea.
What is this?,این چیست؟
مستقیم برو.,Go straight.
سمت راست است.,It is on the right side.
I am woried.,نگرانم.
I am doing well.,حالم خوبه.
How long does it take?,چقدر طول می‌کشه؟
خامن‌ها اول.,Ladies first.
I have two sisters.,دو خواهر دارم.
ماشین ندارم.,I don't have a car.
My Persian is notv ery good.,فارسی‌ام خیلی خوب نیست.
این یعنی چه؟,What does this mean?
کافیه.,That is enough.
بیمارتسان کجاست؟,Where is the hospital?
I am reading a book.,دارم کتاب می‌خونم.
I like sports.,ورزش را دوست دارم.
یک,One
Do yolike your job?,شغلت را دوست داری؟
شیر,Milk
غمگینم.,I am sad.
رس کار سر شلوغ ست.,I am busy at work.
Can I obrrow your pen?,می‌تونم خودکارت رو قرض بگیرم؟
This is a book.,این یک کتاب است.
I am studying.,دارم درس می‌خونم.
What did yuo buy?,چی خریدی؟
Come here.,بیا اینجا.
کک!,Help!
سفید,White
دیر رسیدن بهتراز هرگز نرسیدن است.,Better late than never.
One,یک
باقی‌اش امل خودت.,Keep the change.
دارم شآپزی می‌کنم.,I am cooking.
I have a fever.,تب دارم.
مخالمف.,I disagree.
Ihave a pet dg.,من یک سگ خانگی دارم.
hat would be gerat.,عالی می‌شود.
I dno't know.,نمی‌دانم.
رزرو دارم.,I have a reservation.
Leave me alone.,تنهام بگذار.
خیلی بزرگ است.,It is too big.
It is near.,نزدیک است.
رمز عبورم را فراموش کردم.,I forgot my password.
Keep practicing.,به تمرین ادامه بده.
I have an idea.,یه ایده دارم.
What time does the store open?,مغازه ساعت چند باز می‌شود؟
Never stop learning.,هرگز از یادگیری دست نکش.
برام پیام بفرست.,Send me a message.
Please speak more slowly.,لطفاً آهسته‌تر صحبت کن.
موز,Banana
چارغ را رونش کن.,Turn on the light.
It i sot tdoay.,امروز گرم است.
Time is money.,وقت طلاست.
چه کار می‌کنی؟,What are you doing?
I watch television.,تلویزیون تماشا می‌کنم.
I feel good,حس خوبی دارم.
Coffee,قهوه
آبی,Blue
عید مبارک!,Eid Mubarak!
شب,Night
Bread,نان
انگلیسی بلدی؟,Do you speak English?
من در دانشگاه درس می‌خوانم.,I study at university.
lCos ethe windo.,پنجره را ببند.
دماه بدهت لاش کن.,Keep trying.
"Yes, I am sure.",بله، مطمئنم.
دعاً م‌بینمت.,See you later.
بشین.,Sit down.
What is your job?,شغلت چیست؟
I am sad.,غمگینم.
Could eb bette. r,می‌تونه بهتر باشه.
فکر می‌کنم همینطور. ه,I think so.
من بیست ساهل هستم.,I am twenty years old.
Two,دو
همه‌چیز خوب است.,Everything is fine.
آب,Water
کتاب خوندنر و دسوت دارم.,I like reading books.
Daghuter,دختر
Take it easy.,آروم باش.
حالم خوبه.,I am doing well.
خیلی خوب صحبت می‌کنی.,You speak very well.
I want water.,آب می‌خوام.
چیزی نیست.,Nothing much.
اتاق,Room
به پول نیاز دارم.,I need money.
Make yourself at home.,راحت باش.
Merry Christmas!,کریسمس مبارک!
سفر به خیر.,Safe travels.
Merry Chrismas!,کریسمس مبارک!
I am full.,سیر شدم.
پسر,Son
ه وقت آزاد شدی زن گزب. ن,Call me when you are free.
پاشو.,Stand up.
Please speak slowly.,لطفاً آهسته صحبت کن.
تولدت مبارک!,Happy birthday!
آیا ممکن اس. ت. ؟,Is it possible.?
Let' sstart over.,از اول شروع کنیم.
Can you help me reset it?,می‌توانی کمکم کنی آن را ریست کنم؟
I bought some fruits.,چند تا میوه خریدم.
ادامه بده.,Continue.
The end.,پایان.
سرگرمی‌هایت چیست؟,What are your hobbies?
My phone number is.,شماره تلفنم. است.
I lkiereding books.,کتاب خوندن رو دوست دارم.
راحت باش.,Make yourself at home.
How are you?,حال شما چطور است؟
Iam tired.,خسته‌ام.
I am astudetn.,من دانشجو هستم.
لطفاً من را به این آدرس ببر.,Please take me to this address.
سی,Thirty
باش.,Okay.
می‌تونم خودکارت رو قرض بگیرم؟,Can I borrow your pen?
مادربزرگ,Grandmother
بله، لطفاً.,"Yes, please."
قرمز,Red
Safe travels.,سفر به خیر.
خانواده‌ات چطور هستند؟,How is your family?
هزار,One thousand
عجله‌ای نیست.,No rush.
What is he temperature?,دما چند درجه است؟
درسته.,That is true.
Be careful.,مراقب باش.
آیا ممکن است. ؟,Is it possible.?
Believe in yourself.,به خودت ایمان داشته باش.
ماهی,Fish
Is it possible...?,آیا ممکن است...؟
سرم شلوغه.,I am busy.
همین.,That is all.
Monday,دوشنبه
چهار,Four
مایل هستم.,I would like.
حسبا لطفاً.,The bill please.
I m looking ofr a god restaurant nearb. y,دنبال یک رستوران خوب در نزدیکی اینجا هستم.
ما چند درجه است؟,What is the temperature?
به تمری ادامه بده.,Keep practicing.
می‌توانی کمکم کنی آن را ریست کنم؟,Can you help me reset it?
این کلمه ینی چه؟,What does this word mean?
Are you feeling better?,حالت بهتر شده؟
tA five o'lock.,ساعت پنج.
چند تا میوهخ ردیم.,I bought some fruits.
می‌تونه بهتر باشه.,Could be better.
M head uhtrs.,سردرد دارم.
آن یک خودکار است.,That is a pen.
I need medicin. e,به دارو نیاز دارم.
I have a reservation.,رزرو دارم.
Are you fre? e,آزاد هستی؟
It makes sense.,منطقی است.
Good luck!,موفق باشی!
Don't worry.,نگران نباش.
به پلیس زنگ بزن.,Call the police.
من خوشحالم.,I am happy.
May I.?,ممکن است من. ؟
خواهش می‌کنم,You are welcome
This is my first time here.,اولین بار است که اینجا می‌آیم.
You can do it!,می‌تونی انجامش بدی!
Bedroom,اتاق خواب
owmu ch did you pay?,چقدر پول دادی؟
این مهم است.,This is important.
Aftrenoon,بعدازظهر
من غمگینم.,I am sad.
مرضیم.,I am sick.
I have a reservaiton.,رزرو دارم.
این هم باقیپولت.,Here is your change.
دوتش ندارم.,I don't like it.
Nothing much.,چیزی نیست.
خیلی گران است.,It is too expensive.
What is yourfavorite fodo?,غذای مورد علاقه‌ات چیه؟
Can you take a photo of us?,می‌توانی از ما عکس بگیری؟
I do not eat meat.,من گوشت نمی‌خورم.
Can you lend me some money?,می‌تونی یه کم پول بهم قرض بدی؟
می‌توانید بگویید چطور به موزه بروم؟,Could you tell me how to get to the museum?
من گوشت نمی‌خورم.,I do not eat meat.
در,Door
Wehre is the restuarant?,رستوران کجاست؟
اشتباه کردم.,I made a mistake.
I m ahungry.,من گرسنه‌ام.
ه شده؟,What is the matter?
Wait for me.,برام صبر کن.
سعات چند همدیگه رو ببینمی؟,What time shall we meet?
سه‌شنبه,Tuesday
Do you know if there is a bank around here?,می‌دانید آیا بانکی در این اطراف هست؟
Three,سه
Whatw ould you like to eat?,دوست داری چی بخوری؟
رم ست.,It is hot.
Good veening,عصر بخیر
خداحافظ,Goodbye
fAfteryou.,شما بفرمایید.
دلم براتت نگ شده.,I miss you.
What are your hobbies?,سرگرمی‌هایت چیست؟
I feel great.,عالی حس می‌کنم.
What time odes the store clse?,مغازه ساعت چند بسته می‌شود؟
مواظب خوتد باش.,Take care.
باد میوز‌د.,It is windy.
خیلی خوش گذشت.,I had a great time.
من اهل ایران هسمت.,I am from Iran.
I aree.,موافقم.
رگز از یادگیری دس تنکش.,Never stop learning.
خواهر یا برادر داری؟,Do you have any brothers or sisters?
دیروز یکشنبه بود.,Yesterday was Sunday.
I think s. o,فکر می‌کنم همینطوره.
س بزرگ است.,The dog is big.
سمتقیم برو.,Go straight.
نمی‌دانم.,I don't know.
Turn left.,به چپ بپیچ.
به سر کار می‌روم.,I go to work.
I do'nt understand.,متوجه نمی‌شوم.
شغلت چیست؟,What is your job?
The food is delicious.,غذا خوشمزه است.
Here you are.,بفرمایید.
Good idea.,ایده خوبیه.
Take car. e,مواظب خودت باش.
Hlelo,سلام
به آن سدت نزن.,Do not touch that.
I will be right back,همین الان برمی‌گردم.
اشتباه رکدن اشکای دنارد.,It is okay to make mistakes.
How much did you pay?,چقدر پول دادی؟
My name is lAi.,اسم من علی است.
I am happy.,من خوشحالم.
این عالیه.,This is perfect.
eL's eat.,بزن بریم غذا بخوریم.
Rice,برنج
باید دکتر بروم.,I need to see a doctor.
من دانشجو هستم.,I am a student.
عجله نکن.,Take your time.
هنوز دارم یاد می‌گیرم.,I am still learning.
Where is the hospital?,بیمارستان کجاست؟
About twenty minutes.,حدود بیست دقیقه.
بله، مطمئنم.,"Yes, I am sure."
What is your favorite food?,غذای مورد علاقه‌ات چیه؟
من تشنه‌ام.,I am thirsty.
That is a en.,آن یک خودکار است.
The cat is lseeping.,گربه خوابیده است.
به تمرین ادامه بده.,Keep practicing.
چ هکرا می‌کنی؟,What do you do?
Do your best.,بهترینت رو انجام بده.
How aws oyur trip?,سفرت چطور بود؟
شوهر,Husband
افتضاح حس می‌کنم.,I feel terrible.
صبحانه می‌خورم.,I have breakfast.
I do to eat meat.,من گوشت نمی‌خورم.
التبه می‌تونی.,Of course you can.
بهت اعتماد دارم.,I trust you.
هوا خوب است.,The weather is nice.
Eight,هشت
Iha ve an idea.,یه ایده دارم.
Apple,سیب
My brother is a doctor.,برادرم دکتر است.
مغازه ساعت چند بسته می‌شود؟,What time does the store close?
برف می‌بارد.,It is snowing.
آبمیوه,Juice
بله، وفتبال بازی می‌کنم.,"Yes, I play football."
افتضاح سح می‌کنم.,I feel terrible.
خبی؟,Are you okay?
حال تچطوره؟,How are you doing?
آن یک خودکار ات.,That is a pen.
I feel bad.,حس بدی دارم.
من در تهران زندگی می‌کنم.,I live in Tehran.
Turn off the light.,چراغ را خاموش کن.
لطفاً کمکم کن.,Please help me.
مخالفم.,I disagree.
لطفاً منو ببخش.,Please forgive me.
حدود ده دقیقه.,About ten minutes.
esterday was Sunday.,دیروز یکشنبه بود.
چتر بردار.,Take an umbrella.
در ماتس باش.,Stay in touch.
I will be right back.,همین الان برمی‌گردم.
That si all.,همین.
گرنام.,I am worried.
من فارسی صحبت می‌کنم.,I speak Persian.
دارم آشپزی می‌کنم.,I am cooking.
هبت زنگ می‌زنم.,I will call you.
Where do you work?,کجا کار می‌کنی؟
Get wel lsoon.,زود خوب شو.
Please forgive em.,لطفاً منو ببخش.
به چپ پیچ.,Turn left.
عصر,Evening
Sit donw.,بشین.
بیرونسرد سات.,It is cold outside.
من در یک دفتر کار می‌کنم.,I work in an office.
خوشبگ ذره!,Have fun!
That is true.,درسته.
واقعاً قدردانم.,I really appreciate it.
What subject do you study?,چه رشته‌ای می‌خوانی؟
What do you do?,چه کار می‌کنی؟
What's up?,چه خبر؟
پیامت رو گفرتم.,I got your message.
زود برگرد.,Come back soon.
برنج,Rice
That is a pen.,آن یک خودکار است.
I am surprised.,متعجبم.
کرایه چقدر است؟,What is the fare?
What is your favorite movie?,فیلم مورد علاقه‌ات چیست؟
بخوبم.,I am okay.
ارزان‌ترش رو درای؟,Do you have a cheaper one?
Timei sm noey.,وقت طلاست.
عمو,Uncle
You are welcome,خواهش می‌کنم
Whta is your favortie movie?,فیلم مورد علاقه‌ات چیست؟
Borther,برادر
زود خوب شو.,Get well soon.
غذا خوشمزه است.,The food is delicious.
ممنون از کمکت.,Thank you for your help.
دنبالم بیا.,Follow me.
سرگرمی‌ایت چیست؟,What are your hobbies?
Thak oyu very much.,خیلی ممنونم.
I am learning English.,دارم انگلیسی یاد می‌گیرم.
اسم من علی است.,My name is Ali.
Soup,سوپ
اب,Horse
I read a book bfoere bed.,قبل از خواب کتاب می‌خوانم.
رنگ مورد علاقه‌ام آبی است.,My favorite color is blue.
بیست,Twenty
اولین بار است که اینجا می‌آیم.,This is my first time here.
How old are you?,چند سالته؟
Batrhoom,حمام
I miss you.,دلم برات تنگ شده.
Indesrtand onw.,الان فهمیدم.
Eevrtyhing is fine.,همه‌چیز خوب است.
این دب است.,This is bad.
What is your favorite cloor?,رنگ مورد علاقه‌ات چیه؟
کارت اعتباری قبول می‌کنید؟,Do you accept credit cards?
فردا بارانخاهدبارد.,It will rain tomorrow.
حمام,Bathroom
Exuse me,ببخشید
You are too kind.,خیلی لطف دارید.
هفتته گذشته,Last week
Congratulations!,تبریک می‌گم!
Today,امروز
دارم کار می‌نم.,I am working.
I am twenty years old.,من بیست ساله هستم.
می‌تونم من ورو داشت هباشم؟,Can I have the menu?
نه، ممنون.,"No, thank you."
Fifty,پنجاه
What does this word mean?,این کلمه یعنی چه؟
What does this mean?,این یعنی چه؟
بنفش,Purple
خانه,House
Hello,سلام
I am working.,دارم کار می‌کنم.
چای یم‌خوام.,I want tea.
Until next time.,تا دفعه بعد.
Take care.,مواظب خودت باش.
House,خانه
Don't mention it.,قابلی نداره.
How long have you lived here?,چقدر است که اینجا زندگی می‌کنی؟
این طعم خوبی داره.,This tastes good.
زود برمی‌گردم.,I will be back soon.
ورزش را دوست دارم.,I like sports.
بعدازظهر,Afternoon
Do you play football?,فوتبال بازی می‌کنی؟
Never sto plearning.,هرگز از یادگیری دست نکش.
This is important.,این مهم است.
Welcome home.,خوش اومدی خونه.
I disagree.,مخالفم.
The en. d,پایان.
What should we do?,چیکار باید بکنیم؟
Room,اتاق
Everything is fine.,همه‌چیز خوب است.
Tree,سه
Meat,گوشت
چقدر طول می‌کشه؟,How long does it take?
بهت زنگ می‌زنم.,I will call you.
به ،طمنئم.,"Yes, I am sure."
سمت چپ است.,It is on the left side.
I need money.,به پول نیاز دارم.
امروزچ ه روزی است؟,What day is it today?
It was a pleasure.,لذت‌بخش بود.
امروز گرم است.,It is hot today.
Congratultaions!,تبریک می‌گم!
This is good.,این خوب است.
هر روز تمرین کن.,Practice every day.
Open the door.,در را باز کن.
The internet is not working.,اینترنت کار نمی‌کند.
Floolw me.,دنبالم بیا.
It was wonderful.,عالی بود.
Turn on the light.,چراغ را روشن کن.
I am from Iran.,من اهل ایران هستم.
It is too expnesive.,خیلی گران است.
Le'ts go.,بریم.
Egg,تخم‌مرغ
I am Iht. o,گرمه.
Please help me.,لطفاً کمکم کن.
"No, thank you.",نه، ممنون.
می‌تونه بتهر ابشه.,Could be better.
نه، ندارم.,"No, I don't."
خیلی خو بصحبت می‌کنی.,You speak very well.
I want coffee.,قهوه می‌خوام.
White,سفید
این خوشمزه است.,This is delicious.
Milk,شیر
Where are you from?,اهل کجا هستی؟
خیلی ممنونم.,Thank you very much.
I have breakafst.,صبحانه می‌خورم.
آشپزخانه کجاست؟,Where is the kitchen?
I am from Iarn.,من اهل ایران هستم.
لطفاً م را به این درس بب. ر,Please take me to this address.
دیر رسیدن بهتر از هرگز نرسیدن است.,Better late than never.
